user,movie,rating
"Jacob Smith","Flirting with Disaster",4
"Jacob Smith","Indecent Proposal",3
"Jacob Smith","Runaway Bride",2
"Jacob Smith","Swiss Family Robinson",1
"Jacob Smith","The Mexican",2
"Jacob Smith","Maid in Manhattan",4
"Jacob Smith","A Charlie Brown Thanksgiving / The Mayflower Voyagers",3
"Jacob Smith","Brazil",1
"Jacob Smith","Forrest Gump",3
"Jacob Smith","It Happened One Night",4
"Jacob Smith","Airplane!",3
"Jacob Smith","The Wedding Planner",3
"Jacob Smith","A League of Their Own",3
"Jacob Smith","Swordfish",1
"Jacob Smith","Indiana Jones and the Temple of Doom",4
"Jacob Smith","A Beautiful Mind",5
"Jacob Smith","The Blue Planet: Seas of Life: Tidal Seas - Coasts",4
"Jacob Smith","Brother Bear (Home Viewing Version)",2
"Jacob Smith","The Sound of Music",4
"Jacob Smith","Kate & Leopold",3
"Jacob Smith","A Charlie Brown Christmas",3
"Jacob Smith","The Rock",3
"Jacob Smith","Coming to America",3
"Jacob Smith","Better Off Dead",3
"Jacob Smith","Mystic River",4
"Jacob Smith","The Office: Series 1",1
"Jacob Smith","Double Jeopardy",3
"Jacob Smith","Men in Black",2
"Jacob Smith","Two Weeks Notice",4
"Jacob Smith","Austin Powers: International Man of Mystery",3
"Jacob Smith","Chicago",3
"Jacob Smith","Terms of Endearment",3
"Jacob Smith","The General's Daughter",3
"Jacob Smith","A Fish Called Wanda",3
"Jacob Smith","Life Is Beautiful",4
"Jacob Smith","Air Force One",3
"Jacob Smith","Breakthru Pilates Sculpt",3
"Jacob Smith","Dora the Explorer: Dora's Map Adventures",3
"Jacob Smith","The Game",4
"Jacob Smith","Raising Arizona",3
"Jacob Smith","Spider-Man",1
"Jacob Smith","How to Lose a Guy in 10 Days",3
"Jacob Smith","You've Got Mail",2
"Jacob Smith","Die Hard With a Vengeance",3
"Jacob Smith","Bend It Like Beckham",3
"Jacob Smith","Austin Powers: The Spy Who Shagged Me",3
"Jacob Smith","The Sweetest Thing",4
"Jacob Smith","Rivers and Tides",3
"Jacob Smith","Dead Poets Society",4
"Jacob Smith","Notting Hill",3
"Jacob Smith","Dangerous Liaisons",3
"Jacob Smith","Sweet Home Alabama",3
"Jacob Smith","Real Women Have Curves",1
"Jacob Smith","Big",2
"Jacob Smith","Amadeus",4
"Jacob Smith","Citizen Ruth",1
"Jacob Smith","Blue Crush",1
"Jacob Smith","Life as a House",4
"Jacob Smith","The Graduate",4
"Jacob Smith","One Night at McCool's",4
"Jacob Smith","13 Going on 30",3
"Jacob Smith","Return to Me",4
"Jacob Smith","Vertigo",4
"Jacob Smith","Laws of Attraction",2
"Jacob Smith","Martin Lawrence: You So Crazy",2
"Jacob Smith","Winged Migration",4
"Jacob Smith","Dirty Harry",4
"Jacob Smith","Defending Your Life",3
"Jacob Smith","Sweet and Lowdown",2
"Jacob Smith","Titanic",4
"Jacob Smith","Bandits",3
"Jacob Smith","Meet the Parents",2
"Jacob Smith","Saving Private Ryan",3
"Jacob Smith","Legally Blonde",3
"Jacob Smith","Tootsie",3
"Jacob Smith","Slap Shot: 25th Anniversary Edition",2
"Jacob Smith","Ghostbusters",3
"Jacob Smith","Harry Potter and the Sorcerer's Stone",3
"Jacob Smith","Eternal Sunshine of the Spotless Mind",1
"Jacob Smith","Pirates of the Caribbean: The Curse of the Black Pearl",4
"Jacob Smith","The Story of Us",2
"Jacob Smith","What Women Want",3
"Jacob Smith","Bad Boys",4
"Jacob Smith","On Golden Pond",3
"Jacob Smith","America's Sweethearts",4
"Jacob Smith","Northern Exposure: Season 1",4
"Jacob Smith","The Emperor's New Groove",1
"Jacob Smith","Parenthood",4
"Jacob Smith","The Silence of the Lambs",1
"Jacob Smith","Harold and Kumar Go to White Castle",4
"Jacob Smith","The Ladykillers",2
"Jacob Smith","Something's Gotta Give",3
"Jacob Smith","Lethal Weapon 3",3
"Jacob Smith","Finding Nemo (Widescreen)",3
"Jacob Smith","Patch Adams",3
"Jacob Smith","The Sixth Sense",3
"Jacob Smith","A Nightmare on Elm Street",1
"Jacob Smith","The Italian Job",2
"Jacob Smith","Dances With Wolves: Special Edition",3
"Jacob Smith","Steel Magnolias",3
"Jacob Smith","Rain Man",4
"Jacob Smith","Erin Brockovich",4
"Jacob Smith","Bringing Down the House",4
"Jacob Smith","Out of Africa",3
"Jacob Smith","Under the Tuscan Sun",2
"Jacob Smith","Dave Matthews Band: Listener Supported",2
"Jacob Smith","The Santa Clause",3
"Jacob Smith","Rocky",4
"Jacob Smith","Blue's Clues: Blue Takes You to School",3
"Jacob Smith","Raising Helen",4
"Jacob Smith","Curb Your Enthusiasm: Season 1",1
"Jacob Smith","Saturday Night Live: The Best of Mike Myers",2
"Jacob Smith","Mrs. Winterbourne",3
"Jacob Smith","I Am Sam",4
"Jacob Smith","Pretty Woman",3
"Jacob Smith","Edward Scissorhands",3
"Jacob Smith","The Living Sea: IMAX",3
"Jacob Smith","Lawrence of Arabia",4
"Jacob Smith","Rear Window",5
"Jacob Smith","The Big Chill",4
"Jacob Smith","Hidden Hawaii: IMAX",2
"Jacob Smith","Racing Stripes",3
"Jacob Smith","Beverly Hills Cop II",3
"Jacob Smith","Blood Simple",1
"Jacob Smith","Driving Miss Daisy",3
"Jacob Smith","Diva",3
"Jacob Smith","Phenomenon",3
"Jacob Smith","Gone with the Wind: Collector's Edition",4
"Jacob Smith","Africa: The Serengeti: IMAX",4
"Jacob Smith","Silverado",4
"Jacob Smith","O Brother",4
"Jacob Smith","Annie Hall",3
"Jacob Smith","New York City Ballet Workout",1
"Jacob Smith","Catch Me If You Can",1
"Jacob Smith","The Blue Planet: Seas of Life: Ocean World - Frozen Seas",4
"Jacob Smith","The Royal Tenenbaums",3
"Jacob Smith","Election",3
"Jacob Smith","Blue's Clues: Classic Clues",3
"Jacob Smith","Homeward Bound 2: Lost in San Francisco",2
"Jacob Smith","The Butterfly Effect: Director's Cut",2
"Jacob Smith","My Favorite Wife",2
"Jacob Smith","There's Something About Mary: Special Edition",4
"Jacob Smith","Stepmom",3
"Jacob Smith","Stripes",3
"Jacob Smith","Serving Sara",2
"Mason Smith","Diabolique",5
"Mason Smith","Miss Julie",2
"Mason Smith","Raiders of the Lost Ark",4
"Mason Smith","Indecent Proposal",2
"Mason Smith","Angela's Ashes",4
"Mason Smith","Mother",3
"Mason Smith","The Wild One",3
"Mason Smith","Taxi Driver",4
"Mason Smith","Groundhog Day",4
"Mason Smith","Wag the Dog",3
"Mason Smith","An Affair to Remember",4
"Mason Smith","Rising Sun",1
"Mason Smith","Bad Day at Black Rock",4
"Mason Smith","Pi: Faith in Chaos",4
"Mason Smith","Everything You Always Wanted to Know About Sex But Were Afraid to Ask",4
"Mason Smith","A Clockwork Orange",5
"Mason Smith","Lady and the Tramp",3
"Mason Smith","Dr. No",3
"Mason Smith","The Duellists",4
"Mason Smith","The Diary of Anne Frank",4
"Mason Smith","The Discreet Charm of the Bourgeoisie",3
"Mason Smith","The Front",4
"Mason Smith","Opening Night",4
"Mason Smith","Contempt",4
"Mason Smith","The Philadelphia Story",4
"Mason Smith","A Man Escaped",3
"Mason Smith","Tokyo Story",2
"Mason Smith","Smiles of a Summer Night",4
"Mason Smith","The Ref",3
"Mason Smith","Ran",4
"Mason Smith","The Last Emperor",4
"Mason Smith","Taxi Driver",4
"Mason Smith","Back to the Future",3
"Mason Smith","Bamboozled",3
"Mason Smith","The Cook",4
"Mason Smith","Hollywood Ending",2
"Mason Smith","Scenes from a Mall",1
"Mason Smith","The Honeymoon Killers",3
"Mason Smith","The Battle of Algiers",4
"Mason Smith","Before Sunset",3
"Ethan Smith","The League of Extraordinary Gentlemen",4
"Ethan Smith","Brides of Christ",4
"Mason Smith","Celebrity",1
"Ethan Smith","Epoch: Evolution",1
"Ethan Smith","Windtalkers",2
"Mason Smith","Pulp Fiction",4
"Mason Smith","Joseph Campbell: The Hero's Journey",4
"Mason Smith","An American Tail",3
"Ethan Smith","Waterworld",1
"Mason Smith","Monsters",4
"Ethan Smith","Pulp Fiction",3
"Mason Smith","Cries and Whispers",5
"Ethan Smith","Forrest Gump",5
"Mason Smith","The Last Picture Show",3
"Mason Smith","Sex and the City: Season 3",4
"Mason Smith","2001: A Space Odyssey",3
"Mason Smith","Kundun",4
"Mason Smith","My Best Fiend: Klaus Kinski",4
"Mason Smith","Risky Business",3
"Ethan Smith","Lost in Translation",2
"Ethan Smith","The Rock",5
"Ethan Smith","Coupling: Season 2",1
"Mason Smith","Brazil",2
"Mason Smith","Burden of Dreams",4
"Mason Smith","Malibu's Most Wanted",2
"Mason Smith","The Princess Diaries (Widescreen)",1
"Ethan Smith","Hidalgo",4
"Mason Smith","Forrest Gump",4
"Ethan Smith","Men in Black",4
"Mason Smith","Impromptu",4
"Ethan Smith","The Core",1
"Ethan Smith","Chicago",2
"Ethan Smith","Air Force One",3
"Ethan Smith","Profiler: Season 1",1
"Mason Smith","It Happened One Night",4
"Mason Smith","Quiz Show",3
"Mason Smith","The Story of Adele H.",3
"Mason Smith","Airplane!",3
"Mason Smith","Day for Night",2
"Ethan Smith","Enemy of the State",4
"Ethan Smith","Jurassic Park",4
"Mason Smith","Fried Green Tomatoes",3
"Mason Smith","Harry Potter and the Chamber of Secrets",4
"Ethan Smith","You've Got Mail",5
"Ethan Smith","The Waterboy",1
"Mason Smith","A League of Their Own",3
"Ethan Smith","Notting Hill",5
"Ethan Smith","Kangaroo Jack",2
"Ethan Smith","Miracle",4
"Ethan Smith","Independence Day",4
"Mason Smith","The Witches of Eastwick",3
"Ethan Smith","Mona Lisa Smile",2
"Ethan Smith","The Mask of Zorro",5
"Mason Smith","The Celluloid Closet",3
"Mason Smith","The Lover",3
"Mason Smith","Hotel Rwanda",4
"Mason Smith","What Dreams May Come",3
"Mason Smith","The Man with the Golden Gun",3
"Mason Smith","Through a Glass Darkly",5
"Mason Smith","The Sacrifice / Directed by Andrei Tarkovsky",5
"Ethan Smith","That Touch of Mink",3
"Ethan Smith","The Green Mile",3
"Ethan Smith","Mad About You: Season 2",5
"Ethan Smith","A Few Good Men",2
"Mason Smith","The Name of the Rose",4
"Ethan Smith","Face/Off",1
"Ethan Smith","Michael Moore's The Awful Truth: Season 1",1
"Mason Smith","Hamlet",3
"Ethan Smith","Spy Kids 3-D: Game Over (2-D version)",2
"Ethan Smith","Mulan: Special Edition",3
"Mason Smith","Repo Man",3
"Mason Smith","Passion of Anna",4
"Mason Smith","Indiana Jones and the Temple of Doom",4
"Mason Smith","Mildred Pierce",3
"Mason Smith","Nosferatu the Vampyre",5
"Mason Smith","Badlands",4
"Mason Smith","Escape from the Planet of the Apes",3
"Mason Smith","Blow Up",3
"Mason Smith","The Shining",3
"Mason Smith","Kate & Leopold",3
"Mason Smith","Big Fish",4
"Mason Smith","Amy's O",3
"Mason Smith","The Accused",3
"Mason Smith","Clerks: First Cut (Not Theatrical Version)",2
"Mason Smith","Seems Like Old Times",3
"Mason Smith","Lost in Translation",4
"Mason Smith","The Jerk",3
"Mason Smith","The Secret of Roan Inish",4
"Mason Smith","The Godfather",5
"Mason Smith","Kissing Jessica Stein",3
"Mason Smith","Mr. Holland's Opus",3
"Mason Smith","Harry Potter and the Prisoner of Azkaban",4
"Mason Smith","Coupling: Season 2",4
"Mason Smith","Lethal Weapon 2",2
"Mason Smith","Horse Feathers",4
"Mason Smith","McCabe & Mrs. Miller",4
"Mason Smith","Lumumba",4
"Mason Smith","The Story of O",1
"Mason Smith","Sex and the City: Season 6: Part 2",4
"Mason Smith","Shadows and Fog",3
"Mason Smith","Power and Terror: Noam Chomsky in Our Times",4
"Mason Smith","Fitzcarraldo",5
"Mason Smith","Mystic River",3
"Mason Smith","National Lampoon's Animal House",3
"Mason Smith","Picnic at Hanging Rock",2
"Mason Smith","An American in Paris",3
"Mason Smith","High Sierra",2
"Mason Smith","The Sweet Hereafter",4
"Ethan Smith","Spy Kids 2: The Island of Lost Dreams",2
"Mason Smith","What's Up",3
"Mason Smith","Henry & June",5
"Mason Smith","Thelma & Louise: Special Edition",4
"Mason Smith","Camille Claudel",4
"Mason Smith","The Boondock Saints",1
"Mason Smith","Knife in the Water",4
"Mason Smith","Last Tango in Paris",3
"Mason Smith","Frontier House",4
"Mason Smith","Moulin Rouge",1
"Mason Smith","Mephisto",4
"Mason Smith","Carrie",3
"Mason Smith","Bullets Over Broadway",2
"Mason Smith","Benny and Joon",2
"Mason Smith","Monkey Business",4
"Mason Smith","Two Weeks Notice",2
"Mason Smith","A Home at the End of the World",3
"Mason Smith","Kiki's Delivery Service",4
"Ethan Smith","Ghost",5
"Mason Smith","Wall Street",3
"Mason Smith","Sex and the City: Season 1",4
"Mason Smith","The Joy Luck Club",4
"Mason Smith","House of Flying Daggers",2
"Mason Smith","Blazing Saddles",2
"Mason Smith","Anything Else",1
"Mason Smith","Maze",4
"Mason Smith","Elizabeth Cady Stanton & Susan B. Anthony",4
"Mason Smith","House of Games",3
"Mason Smith","Chicago",3
"Mason Smith","Winter Light",4
"Mason Smith","His Girl Friday",4
"Mason Smith","Kramer vs. Kramer",3
"Mason Smith","Breathless",3
"Mason Smith","Terms of Endearment",3
"Mason Smith","Alice",3
"Mason Smith","Somewhere in Time",4
"Mason Smith","The Count of Monte Cristo",3
"Mason Smith","Shame",5
"Mason Smith","Billy Elliot",4
"Mason Smith","Gia",3
"Mason Smith","On the Town",3
"Mason Smith","The Player",4
"Mason Smith","2 Days in the Valley",2
"Mason Smith","Down With Love",2
"Mason Smith","Bull Durham",3
"Mason Smith","Sleeper",4
"Mason Smith","A Fish Called Wanda",3
"Mason Smith","Life Is Beautiful",4
"Mason Smith","Spider",5
"Mason Smith","The Great Silence",3
"Mason Smith","Closely Watched Trains",2
"Mason Smith","Far from Heaven",3
"Mason Smith","Betty Blue",5
"Mason Smith","Faraway",4
"Mason Smith","Willy Wonka & the Chocolate Factory",3
"Mason Smith","The Pillow Book",4
"Mason Smith","Total Recall",2
"Mason Smith","From Here to Eternity",4
"Mason Smith","My Darling Clementine",4
"Mason Smith","Mary Poppins",3
"Mason Smith","Grave of the Fireflies",5
"Mason Smith","Stranger than Paradise",3
"Mason Smith","Children of Heaven",3
"Mason Smith","Dirty Pretty Things",3
"Mason Smith","Peeping Tom",3
"Mason Smith","Breaking the Waves",5
"Mason Smith","Dark Passage",3
"Mason Smith","Butch Cassidy and the Sundance Kid",4
"Ethan Smith","The Sixth Sense",4
"Mason Smith","3 Women",4
"Mason Smith","Jurassic Park",2
"Mason Smith","Paris",4
"Mason Smith","Monty Python and the Holy Grail",4
"Mason Smith","What a Girl Wants",2
"Mason Smith","Raising Arizona",2
"Mason Smith","French Kiss",1
"Mason Smith","Spider-Man",1
"Ethan Smith","Rabbit-Proof Fence",1
"Mason Smith","Gaslight",3
"Mason Smith","Analyze That",2
"Mason Smith","High Noon",5
"Mason Smith","Midnight Cowboy",3
"Mason Smith","Labyrinth",3
"Mason Smith","Field of Dreams",3
"Mason Smith","The Matrix",4
"Ethan Smith","The Lost World: Jurassic Park",1
"Mason Smith","Guess Who's Coming to Dinner",3
"Mason Smith","Pillow Talk",3
"Mason Smith","The Mission: Special Edition",4
"Mason Smith","Beetlejuice",3
"Mason Smith","Deconstructing Harry",4
"Mason Smith","Glengarry Glen Ross",3
"Mason Smith","Babe",3
"Mason Smith","Blade Runner",4
"Mason Smith","Dogville",5
"Mason Smith","Longtime Companion",4
"Ethan Smith","Runaway Jury",4
"Mason Smith","Alias: Season 1",3
"Mason Smith","Three Amigos",3
"Mason Smith","Brigadoon",3
"Mason Smith","The Passion of Joan of Arc",5
"Mason Smith","City Slickers",2
"Ethan Smith","Mission: Impossible",3
"Mason Smith","Short Cuts",3
"Mason Smith","Witness",3
"Mason Smith","Dangerous Liaisons",4
"Mason Smith","Sex and the City: Season 2",4
"Mason Smith","Ocean's Eleven",3
"Mason Smith","Coal Miner's Daughter: Collector's Edition",1
"Mason Smith","Mr. Smith Goes to Washington",4
"Mason Smith","The Firm",2
"Mason Smith","Autumn Sonata",5
"Ethan Smith","Miss Congeniality",4
"Mason Smith","What About Bob?",2
"Mason Smith","sex",2
